id,symbol,timestamp,unixtime,field,price,size,canautoexecute
151510487,HUYA,2018-08-15 09:34:06-04,1534340046,5,,10,
151510488,HUYA,2018-08-15 09:34:06-04,1534340046,5,,10,
151510489,HUYA,2018-08-15 09:34:06-04,1534340046,8,,11260,
151510492,HUYA,2018-08-15 09:34:07-04,1534340047,1,24.61,,t
151510493,HUYA,2018-08-15 09:34:07-04,1534340047,0,,1,
151510494,HUYA,2018-08-15 09:34:07-04,1534340047,2,24.68,,t
151510495,HUYA,2018-08-15 09:34:07-04,1534340047,3,,20,
151510496,HUYA,2018-08-15 09:34:07-04,1534340047,0,,1,
151510497,HUYA,2018-08-15 09:34:07-04,1534340047,3,,20,
151510498,HUYA,2018-08-15 09:34:07-04,1534340047,2,24.73,,t
151510499,HUYA,2018-08-15 09:34:07-04,1534340047,3,,1,
151510500,HUYA,2018-08-15 09:34:07-04,1534340047,0,,5,
151510501,HUYA,2018-08-15 09:34:07-04,1534340047,3,,1,
151510502,HUYA,2018-08-15 09:34:07-04,1534340047,4,24.68,,f
151510503,HUYA,2018-08-15 09:34:07-04,1534340047,5,,1,
151510504,HUYA,2018-08-15 09:34:07-04,1534340047,5,,1,
151510505,HUYA,2018-08-15 09:34:07-04,1534340047,8,,11261,
151510515,HUYA,2018-08-15 09:34:08-04,1534340048,3,,2,
151510526,HUYA,2018-08-15 09:34:09-04,1534340049,3,,1,
151510539,HUYA,2018-08-15 09:34:09-04,1534340049,2,24.8,,t
151510540,HUYA,2018-08-15 09:34:09-04,1534340049,3,,1,
151510546,HUYA,2018-08-15 09:34:10-04,1534340050,2,24.73,,t
151510547,HUYA,2018-08-15 09:34:10-04,1534340050,3,,1,
151510548,HUYA,2018-08-15 09:34:10-04,1534340050,0,,6,
151510557,HUYA,2018-08-15 09:34:11-04,1534340051,4,24.67,,f
151510558,HUYA,2018-08-15 09:34:11-04,1534340051,5,,20,
151510559,HUYA,2018-08-15 09:34:11-04,1534340051,5,,20,
151510560,HUYA,2018-08-15 09:34:11-04,1534340051,8,,11281,
151510568,HUYA,2018-08-15 09:34:11-04,1534340051,1,24.66,,t
151510569,HUYA,2018-08-15 09:34:11-04,1534340051,0,,1,
151510570,HUYA,2018-08-15 09:34:11-04,1534340051,2,24.8,,t
151510571,HUYA,2018-08-15 09:34:11-04,1534340051,3,,2,
151510572,HUYA,2018-08-15 09:34:11-04,1534340051,0,,1,
151510573,HUYA,2018-08-15 09:34:11-04,1534340051,3,,2,
151510577,HUYA,2018-08-15 09:34:12-04,1534340052,4,24.73,,f
151510578,HUYA,2018-08-15 09:34:12-04,1534340052,5,,1,
151510579,HUYA,2018-08-15 09:34:12-04,1534340052,5,,1,
151510580,HUYA,2018-08-15 09:34:12-04,1534340052,8,,11282,
151510582,HUYA,2018-08-15 09:34:12-04,1534340052,0,,2,
151510592,HUYA,2018-08-15 09:34:12-04,1534340052,0,,3,
151510597,HUYA,2018-08-15 09:34:13-04,1534340053,8,,11283,
151510598,HUYA,2018-08-15 09:34:13-04,1534340053,0,,2,
151510611,HUYA,2018-08-15 09:34:14-04,1534340054,1,24.73,,t
151510612,HUYA,2018-08-15 09:34:14-04,1534340054,0,,1,
151510613,HUYA,2018-08-15 09:34:14-04,1534340054,0,,1,
151510614,HUYA,2018-08-15 09:34:14-04,1534340054,8,,11284,
151510629,HUYA,2018-08-15 09:34:14-04,1534340054,0,,4,
151510630,HUYA,2018-08-15 09:34:15-04,1534340055,4,24.79,,f
151510631,HUYA,2018-08-15 09:34:15-04,1534340055,5,,1,
151510632,HUYA,2018-08-15 09:34:15-04,1534340055,8,,11285,
151510644,HUYA,2018-08-15 09:34:15-04,1534340055,4,24.8,,f
151510645,HUYA,2018-08-15 09:34:15-04,1534340055,5,,2,
151510646,HUYA,2018-08-15 09:34:15-04,1534340055,5,,2,
151510647,HUYA,2018-08-15 09:34:15-04,1534340055,8,,11287,
151510652,HUYA,2018-08-15 09:34:15-04,1534340055,0,,2,
151510653,HUYA,2018-08-15 09:34:15-04,1534340055,3,,3,
151510668,HUYA,2018-08-15 09:34:16-04,1534340056,5,,1,
151510669,HUYA,2018-08-15 09:34:16-04,1534340056,8,,11288,
151510670,HUYA,2018-08-15 09:34:16-04,1534340056,0,,3,
151510681,HUYA,2018-08-15 09:34:17-04,1534340057,3,,1,
151510686,HUYA,2018-08-15 09:34:17-04,1534340057,8,,11289,
151510695,HUYA,2018-08-15 09:34:18-04,1534340058,3,,2,
151510696,HUYA,2018-08-15 09:34:18-04,1534340058,8,,11290,
151510706,HUYA,2018-08-15 09:34:19-04,1534340059,8,,11291,
151510707,HUYA,2018-08-15 09:34:19-04,1534340059,2,24.76,,t
151510708,HUYA,2018-08-15 09:34:19-04,1534340059,3,,5,
151510709,HUYA,2018-08-15 09:34:19-04,1534340059,0,,2,
151510710,HUYA,2018-08-15 09:34:19-04,1534340059,3,,5,
151510717,HUYA,2018-08-15 09:34:19-04,1534340059,1,24.72,,t
151510718,HUYA,2018-08-15 09:34:19-04,1534340059,0,,6,
151510719,HUYA,2018-08-15 09:34:19-04,1534340059,0,,6,
151510720,HUYA,2018-08-15 09:34:19-04,1534340059,3,,4,
151510721,HUYA,2018-08-15 09:34:20-04,1534340060,4,24.75,,f
151510722,HUYA,2018-08-15 09:34:20-04,1534340060,5,,1,
151510723,HUYA,2018-08-15 09:34:20-04,1534340060,8,,11292,
151510724,HUYA,2018-08-15 09:34:20-04,1534340060,1,24.74,,t
151510725,HUYA,2018-08-15 09:34:20-04,1534340060,0,,5,
151510726,HUYA,2018-08-15 09:34:20-04,1534340060,2,24.8,,t
151510727,HUYA,2018-08-15 09:34:20-04,1534340060,3,,2,
151510728,HUYA,2018-08-15 09:34:20-04,1534340060,0,,5,
151510729,HUYA,2018-08-15 09:34:20-04,1534340060,3,,2,
151510732,HUYA,2018-08-15 09:34:20-04,1534340060,4,24.74,,f
151510733,HUYA,2018-08-15 09:34:20-04,1534340060,5,,13,
151510734,HUYA,2018-08-15 09:34:20-04,1534340060,5,,13,
151510735,HUYA,2018-08-15 09:34:20-04,1534340060,8,,11305,
151510736,HUYA,2018-08-15 09:34:21-04,1534340061,0,,1,
151510739,HUYA,2018-08-15 09:34:21-04,1534340061,4,24.77,,f
151510740,HUYA,2018-08-15 09:34:21-04,1534340061,5,,2,
151510741,HUYA,2018-08-15 09:34:21-04,1534340061,5,,2,
151510742,HUYA,2018-08-15 09:34:21-04,1534340061,8,,11307,
151510744,HUYA,2018-08-15 09:34:21-04,1534340061,1,24.72,,t
151510745,HUYA,2018-08-15 09:34:21-04,1534340061,0,,8,
151510746,HUYA,2018-08-15 09:34:21-04,1534340061,0,,8,
151510750,HUYA,2018-08-15 09:34:22-04,1534340062,4,24.74,,f
151510751,HUYA,2018-08-15 09:34:22-04,1534340062,5,,1,
151510752,HUYA,2018-08-15 09:34:22-04,1534340062,5,,1,
151510753,HUYA,2018-08-15 09:34:22-04,1534340062,8,,11308,
151510755,HUYA,2018-08-15 09:34:22-04,1534340062,0,,6,
151510756,HUYA,2018-08-15 09:34:22-04,1534340062,3,,3,
151510758,HUYA,2018-08-15 09:34:23-04,1534340063,4,24.8,,f
151510759,HUYA,2018-08-15 09:34:23-04,1534340063,5,,1,
151510760,HUYA,2018-08-15 09:34:23-04,1534340063,8,,11309,
151510764,HUYA,2018-08-15 09:34:23-04,1534340063,1,24.73,,t
151510765,HUYA,2018-08-15 09:34:23-04,1534340063,0,,3,
151510766,HUYA,2018-08-15 09:34:23-04,1534340063,0,,3,
151510767,HUYA,2018-08-15 09:34:23-04,1534340063,3,,2,
151510768,HUYA,2018-08-15 09:34:23-04,1534340063,1,24.77,,t
151510769,HUYA,2018-08-15 09:34:23-04,1534340063,0,,2,
151510770,HUYA,2018-08-15 09:34:23-04,1534340063,2,24.9,,t
151510771,HUYA,2018-08-15 09:34:23-04,1534340063,3,,1,
151510772,HUYA,2018-08-15 09:34:23-04,1534340063,0,,2,
151510773,HUYA,2018-08-15 09:34:23-04,1534340063,3,,1,
151510774,HUYA,2018-08-15 09:34:23-04,1534340063,8,,11310,
151510781,HUYA,2018-08-15 09:34:24-04,1534340064,8,,11691,
151510784,HUYA,2018-08-15 09:34:24-04,1534340064,0,,6,
151510785,HUYA,2018-08-15 09:34:24-04,1534340064,3,,2,
151510789,HUYA,2018-08-15 09:34:24-04,1534340064,4,24.83,,f
151510790,HUYA,2018-08-15 09:34:24-04,1534340064,5,,2,
151510791,HUYA,2018-08-15 09:34:24-04,1534340064,5,,2,
151510792,HUYA,2018-08-15 09:34:24-04,1534340064,8,,11693,
151510806,HUYA,2018-08-15 09:34:24-04,1534340064,0,,7,
151510807,HUYA,2018-08-15 09:34:24-04,1534340064,3,,3,
151510813,HUYA,2018-08-15 09:34:25-04,1534340065,4,24.9,,f
151510814,HUYA,2018-08-15 09:34:25-04,1534340065,5,,1,
151510815,HUYA,2018-08-15 09:34:25-04,1534340065,5,,1,
151510816,HUYA,2018-08-15 09:34:25-04,1534340065,8,,11694,
151510819,HUYA,2018-08-15 09:34:25-04,1534340065,0,,6,
151510820,HUYA,2018-08-15 09:34:25-04,1534340065,3,,2,
151510821,HUYA,2018-08-15 09:34:26-04,1534340066,4,24.79,,f
151510822,HUYA,2018-08-15 09:34:26-04,1534340066,5,,30,
151510823,HUYA,2018-08-15 09:34:26-04,1534340066,5,,30,
151510824,HUYA,2018-08-15 09:34:26-04,1534340066,8,,11724,
151510827,HUYA,2018-08-15 09:34:26-04,1534340066,1,24.81,,t
151510828,HUYA,2018-08-15 09:34:26-04,1534340066,0,,7,
151510829,HUYA,2018-08-15 09:34:26-04,1534340066,0,,7,
151510830,HUYA,2018-08-15 09:34:26-04,1534340066,3,,3,
151510839,HUYA,2018-08-15 09:34:26-04,1534340066,4,24.9,,f
151510840,HUYA,2018-08-15 09:34:26-04,1534340066,5,,1,
151510841,HUYA,2018-08-15 09:34:26-04,1534340066,5,,1,
151510842,HUYA,2018-08-15 09:34:26-04,1534340066,8,,11725,
151510843,HUYA,2018-08-15 09:34:27-04,1534340067,0,,9,
151510844,HUYA,2018-08-15 09:34:27-04,1534340067,3,,2,
151510849,HUYA,2018-08-15 09:34:27-04,1534340067,4,24.89,,f
151510850,HUYA,2018-08-15 09:34:27-04,1534340067,5,,1,
151510851,HUYA,2018-08-15 09:34:27-04,1534340067,8,,11726,
151510852,HUYA,2018-08-15 09:34:28-04,1534340068,0,,10,
151510855,HUYA,2018-08-15 09:34:28-04,1534340068,8,,11727,
151510862,HUYA,2018-08-15 09:34:29-04,1534340069,8,,11728,
151510867,HUYA,2018-08-15 09:34:30-04,1534340070,8,,11729,
151510868,HUYA,2018-08-15 09:34:30-04,1534340070,0,,11,
151510871,HUYA,2018-08-15 09:34:30-04,1534340070,4,24.85,,f
151510872,HUYA,2018-08-15 09:34:30-04,1534340070,5,,4,
151510873,HUYA,2018-08-15 09:34:30-04,1534340070,5,,4,
151510874,HUYA,2018-08-15 09:34:30-04,1534340070,8,,11733,
151510880,HUYA,2018-08-15 09:34:31-04,1534340071,4,24.89,,f
151510881,HUYA,2018-08-15 09:34:31-04,1534340071,5,,1,
151510882,HUYA,2018-08-15 09:34:31-04,1534340071,5,,1,
151510883,HUYA,2018-08-15 09:34:31-04,1534340071,8,,11734,
151510885,HUYA,2018-08-15 09:34:31-04,1534340071,3,,1,
151510889,HUYA,2018-08-15 09:34:32-04,1534340072,8,,11735,
151510898,HUYA,2018-08-15 09:34:32-04,1534340072,0,,12,
151510905,HUYA,2018-08-15 09:34:33-04,1534340073,4,24.9,,f
151510906,HUYA,2018-08-15 09:34:33-04,1534340073,5,,1,
151510907,HUYA,2018-08-15 09:34:33-04,1534340073,8,,11736,
151510908,HUYA,2018-08-15 09:34:33-04,1534340073,3,,2,
151510917,HUYA,2018-08-15 09:34:33-04,1534340073,4,24.89,,f
151510918,HUYA,2018-08-15 09:34:33-04,1534340073,5,,1,
151510919,HUYA,2018-08-15 09:34:33-04,1534340073,8,,11737,
151510920,HUYA,2018-08-15 09:34:33-04,1534340073,3,,5,
151510923,HUYA,2018-08-15 09:34:34-04,1534340074,5,,2,
151510924,HUYA,2018-08-15 09:34:34-04,1534340074,8,,11739,
151510927,HUYA,2018-08-15 09:34:34-04,1534340074,3,,3,
151510933,HUYA,2018-08-15 09:34:35-04,1534340075,4,24.81,,f
151510934,HUYA,2018-08-15 09:34:35-04,1534340075,5,,1,
151510935,HUYA,2018-08-15 09:34:35-04,1534340075,5,,1,
151510936,HUYA,2018-08-15 09:34:35-04,1534340075,8,,11740,
151510937,HUYA,2018-08-15 09:34:35-04,1534340075,0,,11,
151510940,HUYA,2018-08-15 09:34:36-04,1534340076,4,24.88,,f
151510941,HUYA,2018-08-15 09:34:36-04,1534340076,5,,1,
151510942,HUYA,2018-08-15 09:34:36-04,1534340076,8,,11741,
151510946,HUYA,2018-08-15 09:34:36-04,1534340076,0,,12,
151510960,HUYA,2018-08-15 09:34:37-04,1534340077,4,24.85,,f
151510961,HUYA,2018-08-15 09:34:37-04,1534340077,5,,2,
151510962,HUYA,2018-08-15 09:34:37-04,1534340077,5,,2,
151510963,HUYA,2018-08-15 09:34:37-04,1534340077,8,,11743,
151510966,HUYA,2018-08-15 09:34:37-04,1534340077,2,24.87,,t
151510967,HUYA,2018-08-15 09:34:37-04,1534340077,3,,5,
151510968,HUYA,2018-08-15 09:34:37-04,1534340077,3,,5,
151510969,HUYA,2018-08-15 09:34:37-04,1534340077,4,24.87,,f
151510970,HUYA,2018-08-15 09:34:37-04,1534340077,5,,4,
151510971,HUYA,2018-08-15 09:34:37-04,1534340077,5,,4,
151510972,HUYA,2018-08-15 09:34:37-04,1534340077,8,,11747,
151510979,HUYA,2018-08-15 09:34:38-04,1534340078,0,,15,
151510980,HUYA,2018-08-15 09:34:38-04,1534340078,3,,1,
151510983,HUYA,2018-08-15 09:34:38-04,1534340078,1,24.85,,t
151510984,HUYA,2018-08-15 09:34:38-04,1534340078,0,,1,
151510985,HUYA,2018-08-15 09:34:38-04,1534340078,2,24.9,,t
151510986,HUYA,2018-08-15 09:34:38-04,1534340078,3,,3,
151510987,HUYA,2018-08-15 09:34:38-04,1534340078,0,,1,
151510988,HUYA,2018-08-15 09:34:38-04,1534340078,3,,3,
151510989,HUYA,2018-08-15 09:34:38-04,1534340078,5,,1,
151510990,HUYA,2018-08-15 09:34:38-04,1534340078,8,,11748,
151510997,HUYA,2018-08-15 09:34:39-04,1534340079,3,,4,
151510998,HUYA,2018-08-15 09:34:39-04,1534340079,4,24.85,,f
151510999,HUYA,2018-08-15 09:34:39-04,1534340079,5,,1,
151511000,HUYA,2018-08-15 09:34:39-04,1534340079,8,,11749,
151511004,HUYA,2018-08-15 09:34:39-04,1534340079,0,,2,
151511005,HUYA,2018-08-15 09:34:39-04,1534340079,3,,5,
151511006,HUYA,2018-08-15 09:34:40-04,1534340080,4,24.89,,f
151511007,HUYA,2018-08-15 09:34:40-04,1534340080,5,,4,
151511008,HUYA,2018-08-15 09:34:40-04,1534340080,5,,4,
151511009,HUYA,2018-08-15 09:34:40-04,1534340080,8,,11753,
151511014,HUYA,2018-08-15 09:34:40-04,1534340080,0,,1,
151511015,HUYA,2018-08-15 09:34:40-04,1534340080,3,,4,
151511018,HUYA,2018-08-15 09:34:40-04,1534340080,4,24.9,,f
151511019,HUYA,2018-08-15 09:34:40-04,1534340080,5,,9,
151511020,HUYA,2018-08-15 09:34:40-04,1534340080,5,,9,
151511021,HUYA,2018-08-15 09:34:40-04,1534340080,8,,11762,
151511022,HUYA,2018-08-15 09:34:41-04,1534340081,0,,3,
151511023,HUYA,2018-08-15 09:34:41-04,1534340081,0,,7,
151511024,HUYA,2018-08-15 09:34:41-04,1534340081,3,,3,
151511025,HUYA,2018-08-15 09:34:41-04,1534340081,5,,8,
151511026,HUYA,2018-08-15 09:34:41-04,1534340081,8,,11770,
151511030,HUYA,2018-08-15 09:34:42-04,1534340082,0,,5,
151511032,HUYA,2018-08-15 09:34:42-04,1534340082,5,,1,
151511033,HUYA,2018-08-15 09:34:42-04,1534340082,8,,11771,
151511047,HUYA,2018-08-15 09:34:43-04,1534340083,8,,11772,
151511048,HUYA,2018-08-15 09:34:43-04,1534340083,3,,4,
151511054,HUYA,2018-08-15 09:34:44-04,1534340084,8,,11773,
151511055,HUYA,2018-08-15 09:34:44-04,1534340084,0,,10,
151511059,HUYA,2018-08-15 09:34:44-04,1534340084,4,24.86,,f
151511060,HUYA,2018-08-15 09:34:44-04,1534340084,5,,1,
151511061,HUYA,2018-08-15 09:34:44-04,1534340084,8,,11774,
151511062,HUYA,2018-08-15 09:34:44-04,1534340084,0,,5,
151511063,HUYA,2018-08-15 09:34:44-04,1534340084,3,,7,
151511068,HUYA,2018-08-15 09:34:45-04,1534340085,4,24.9,,f
151511069,HUYA,2018-08-15 09:34:45-04,1534340085,5,,1,
151511070,HUYA,2018-08-15 09:34:45-04,1534340085,8,,11775,
151511071,HUYA,2018-08-15 09:34:45-04,1534340085,0,,4,
151511072,HUYA,2018-08-15 09:34:45-04,1534340085,3,,6,
151511085,HUYA,2018-08-15 09:34:46-04,1534340086,1,24.88,,t
151511086,HUYA,2018-08-15 09:34:46-04,1534340086,0,,1,
151511087,HUYA,2018-08-15 09:34:46-04,1534340086,0,,1,
151511088,HUYA,2018-08-15 09:34:46-04,1534340086,3,,4,
151511089,HUYA,2018-08-15 09:34:46-04,1534340086,8,,11776,
151511098,HUYA,2018-08-15 09:34:46-04,1534340086,0,,4,
151511102,HUYA,2018-08-15 09:34:47-04,1534340087,4,24.88,,f
151511103,HUYA,2018-08-15 09:34:47-04,1534340087,5,,1,
151511104,HUYA,2018-08-15 09:34:47-04,1534340087,8,,11777,
151511107,HUYA,2018-08-15 09:34:47-04,1534340087,1,24.85,,t
151511108,HUYA,2018-08-15 09:34:47-04,1534340087,0,,3,
151511109,HUYA,2018-08-15 09:34:47-04,1534340087,0,,3,
151511110,HUYA,2018-08-15 09:34:47-04,1534340087,3,,3,
151511117,HUYA,2018-08-15 09:34:48-04,1534340088,4,24.85,,f
151511118,HUYA,2018-08-15 09:34:48-04,1534340088,5,,1,
151511119,HUYA,2018-08-15 09:34:48-04,1534340088,8,,11778,
151511124,HUYA,2018-08-15 09:34:48-04,1534340088,1,24.81,,t
151511125,HUYA,2018-08-15 09:34:48-04,1534340088,0,,13,
151511126,HUYA,2018-08-15 09:34:48-04,1534340088,0,,13,
151511132,HUYA,2018-08-15 09:34:49-04,1534340089,4,24.81,,f
151511133,HUYA,2018-08-15 09:34:49-04,1534340089,5,,3,
151511134,HUYA,2018-08-15 09:34:49-04,1534340089,5,,3,
151511135,HUYA,2018-08-15 09:34:49-04,1534340089,8,,11781,
151511136,HUYA,2018-08-15 09:34:49-04,1534340089,0,,9,
151511137,HUYA,2018-08-15 09:34:49-04,1534340089,3,,4,
151511143,HUYA,2018-08-15 09:34:49-04,1534340089,0,,1,
151511144,HUYA,2018-08-15 09:34:50-04,1534340090,5,,5,
151511145,HUYA,2018-08-15 09:34:50-04,1534340090,8,,11786,
151511152,HUYA,2018-08-15 09:34:50-04,1534340090,4,24.9,,f
151511153,HUYA,2018-08-15 09:34:50-04,1534340090,5,,1,
151511154,HUYA,2018-08-15 09:34:50-04,1534340090,5,,1,
151511155,HUYA,2018-08-15 09:34:50-04,1534340090,8,,11787,
151511158,HUYA,2018-08-15 09:34:50-04,1534340090,1,24.82,,t
151511159,HUYA,2018-08-15 09:34:50-04,1534340090,0,,2,
151511160,HUYA,2018-08-15 09:34:50-04,1534340090,0,,2,
151511161,HUYA,2018-08-15 09:34:50-04,1534340090,3,,8,
151511167,HUYA,2018-08-15 09:34:51-04,1534340091,2,24.89,,t
151511168,HUYA,2018-08-15 09:34:51-04,1534340091,3,,1,
151511169,HUYA,2018-08-15 09:34:51-04,1534340091,0,,3,
151511170,HUYA,2018-08-15 09:34:51-04,1534340091,3,,1,
151511171,HUYA,2018-08-15 09:34:51-04,1534340091,4,24.89,,f
151511172,HUYA,2018-08-15 09:34:51-04,1534340091,5,,1,
151511173,HUYA,2018-08-15 09:34:51-04,1534340091,8,,11788,
151511174,HUYA,2018-08-15 09:34:51-04,1534340091,2,24.9,,t
151511175,HUYA,2018-08-15 09:34:51-04,1534340091,3,,7,
151511176,HUYA,2018-08-15 09:34:51-04,1534340091,0,,2,
151511177,HUYA,2018-08-15 09:34:51-04,1534340091,3,,7,
151511181,HUYA,2018-08-15 09:34:52-04,1534340092,1,24.85,,t
151511182,HUYA,2018-08-15 09:34:52-04,1534340092,0,,2,
151511183,HUYA,2018-08-15 09:34:52-04,1534340092,3,,8,
151511187,HUYA,2018-08-15 09:34:52-04,1534340092,5,,38,
151511188,HUYA,2018-08-15 09:34:52-04,1534340092,8,,11826,
151511189,HUYA,2018-08-15 09:34:52-04,1534340092,0,,4,
151511190,HUYA,2018-08-15 09:34:52-04,1534340092,3,,7,
151511193,HUYA,2018-08-15 09:34:53-04,1534340093,1,24.88,,t
151511194,HUYA,2018-08-15 09:34:53-04,1534340093,0,,1,
151511195,HUYA,2018-08-15 09:34:53-04,1534340093,0,,1,
151511196,HUYA,2018-08-15 09:34:53-04,1534340093,3,,4,
151511201,HUYA,2018-08-15 09:34:53-04,1534340093,4,24.9,,f
151511202,HUYA,2018-08-15 09:34:53-04,1534340093,5,,2,
151511203,HUYA,2018-08-15 09:34:53-04,1534340093,5,,2,
151511204,HUYA,2018-08-15 09:34:53-04,1534340093,8,,11828,
151511205,HUYA,2018-08-15 09:34:53-04,1534340093,1,24.9,,t
151511206,HUYA,2018-08-15 09:34:53-04,1534340093,0,,8,
151511207,HUYA,2018-08-15 09:34:53-04,1534340093,2,24.95,,t
151511208,HUYA,2018-08-15 09:34:53-04,1534340093,3,,5,
151511209,HUYA,2018-08-15 09:34:53-04,1534340093,0,,8,
151511210,HUYA,2018-08-15 09:34:53-04,1534340093,3,,5,
151511223,HUYA,2018-08-15 09:34:54-04,1534340094,8,,11995,
151511228,HUYA,2018-08-15 09:34:54-04,1534340094,3,,2,
151511231,HUYA,2018-08-15 09:34:54-04,1534340094,4,24.95,,f
151511232,HUYA,2018-08-15 09:34:54-04,1534340094,5,,1,
151511233,HUYA,2018-08-15 09:34:54-04,1534340094,5,,1,
151511234,HUYA,2018-08-15 09:34:54-04,1534340094,8,,11996,
151511238,HUYA,2018-08-15 09:34:54-04,1534340094,1,24.93,,t
151511239,HUYA,2018-08-15 09:34:54-04,1534340094,0,,1,
151511240,HUYA,2018-08-15 09:34:54-04,1534340094,0,,1,
151511241,HUYA,2018-08-15 09:34:54-04,1534340094,3,,1,
151511248,HUYA,2018-08-15 09:34:54-04,1534340094,1,24.9,,t
151511249,HUYA,2018-08-15 09:34:54-04,1534340094,0,,20,
151511250,HUYA,2018-08-15 09:34:54-04,1534340094,0,,20,
151511252,HUYA,2018-08-15 09:34:55-04,1534340095,4,24.93,,f
151511253,HUYA,2018-08-15 09:34:55-04,1534340095,5,,1,
151511254,HUYA,2018-08-15 09:34:55-04,1534340095,8,,11997,
151511264,HUYA,2018-08-15 09:34:55-04,1534340095,0,,21,
151511265,HUYA,2018-08-15 09:34:55-04,1534340095,3,,2,
151511271,HUYA,2018-08-15 09:34:56-04,1534340096,3,,1,
151511272,HUYA,2018-08-15 09:34:56-04,1534340096,4,24.95,,f
151511273,HUYA,2018-08-15 09:34:56-04,1534340096,5,,1,
151511274,HUYA,2018-08-15 09:34:56-04,1534340096,8,,11998,
151511276,HUYA,2018-08-15 09:34:56-04,1534340096,0,,24,
151511277,HUYA,2018-08-15 09:34:57-04,1534340097,2,24.97,,t
151511278,HUYA,2018-08-15 09:34:57-04,1534340097,3,,1,
151511279,HUYA,2018-08-15 09:34:57-04,1534340097,4,24.97,,f
151511280,HUYA,2018-08-15 09:34:57-04,1534340097,5,,1,
151511281,HUYA,2018-08-15 09:34:57-04,1534340097,8,,11999,
151511282,HUYA,2018-08-15 09:34:57-04,1534340097,3,,2,
151511285,HUYA,2018-08-15 09:34:58-04,1534340098,4,24.96,,f
151511286,HUYA,2018-08-15 09:34:58-04,1534340098,5,,2,
151511287,HUYA,2018-08-15 09:34:58-04,1534340098,5,,2,
151511288,HUYA,2018-08-15 09:34:58-04,1534340098,8,,12001,
151511292,HUYA,2018-08-15 09:34:58-04,1534340098,0,,32,
151511293,HUYA,2018-08-15 09:34:58-04,1534340098,3,,1,
151511306,HUYA,2018-08-15 09:34:59-04,1534340099,3,,2,
151511324,HUYA,2018-08-15 09:34:59-04,1534340099,0,,33,
151511329,HUYA,2018-08-15 09:35:00-04,1534340100,4,24.97,,f
151511330,HUYA,2018-08-15 09:35:00-04,1534340100,5,,1,
151511331,HUYA,2018-08-15 09:35:00-04,1534340100,5,,1,
151511332,HUYA,2018-08-15 09:35:00-04,1534340100,8,,12002,
151511338,HUYA,2018-08-15 09:35:00-04,1534340100,1,24.95,,t
151511339,HUYA,2018-08-15 09:35:00-04,1534340100,0,,2,
151511340,HUYA,2018-08-15 09:35:00-04,1534340100,2,24.99,,t
